"Date","Price","Open","High","Low","Vol.","Change %"
"12/23/2016","62.52","62.46","62.64","62.06","775.84K","0.29%"
"12/22/2016","62.34","62.07","62.50","61.56","1.76M","-0.43%"
"12/21/2016","62.61","63.17","63.75","62.34","1.70M","-1.32%"
"12/20/2016","63.45","62.81","63.60","62.19","2.10M","0.94%"
"12/19/2016","62.86","63.78","63.90","62.60","2.00M","-1.46%"
"12/16/2016","63.79","63.49","64.58","63.14","5.09M","0.13%"
"12/15/2016","63.71","62.37","63.90","62.37","3.98M","2.72%"
"12/14/2016","62.02","62.09","62.34","61.61","2.02M","-0.72%"
"12/13/2016","62.47","60.13","62.52","59.96","3.81M","3.98%"
"12/12/2016","60.08","59.34","60.24","59.10","2.14M","1.45%"
"12/09/2016","59.22","58.93","59.27","58.37","1.93M","0.44%"
"12/08/2016","58.96","58.96","59.35","57.73","2.62M","1.27%"
"12/07/2016","58.22","59.71","59.89","57.81","2.95M","-1.39%"
"12/06/2016","59.04","59.83","59.83","58.60","2.15M","-0.79%"
"12/05/2016","59.51","58.44","60.23","58.44","1.91M","1.50%"
"12/02/2016","58.63","59.37","59.57","58.37","2.62M","-1.76%"
"12/01/2016","59.68","59.89","60.08","59.38","2.14M","-0.37%"
"11/30/2016","59.90","59.74","60.40","59.61","2.35M","-0.27%"
"11/29/2016","60.06","59.63","60.21","59.33","1.81M","0.64%"
"11/28/2016","59.68","59.65","60.00","59.51","1.98M","-0.43%"
"11/25/2016","59.94","59.74","60.18","59.16","1.37M","0.45%"
"11/24/2016","59.67","59.37","59.88","59.13","1.87M","0.44%"
"11/23/2016","59.41","58.13","59.78","58.10","3.20M","2.36%"
"11/22/2016","58.04","58.14","58.99","57.71","2.50M","1.24%"
"11/21/2016","57.33","54.90","57.47","54.89","2.78M","4.43%"
"11/18/2016","54.90","55.66","56.14","54.56","2.05M","-0.53%"
"11/17/2016","55.19","54.60","55.20","54.17","1.68M","1.30%"
"11/16/2016","54.48","56.10","56.31","54.23","2.29M","-2.92%"
"11/15/2016","56.12","56.10","56.58","55.48","2.11M","0.16%"
"11/14/2016","56.03","55.04","56.13","54.98","2.44M","2.94%"
"11/11/2016","54.43","55.08","55.42","54.10","1.44M","-1.05%"
"11/10/2016","55.01","54.21","56.03","54.03","3.77M","2.00%"
"11/09/2016","53.93","50.73","53.95","50.69","3.34M","2.72%"
"11/08/2016","52.50","52.88","53.31","51.69","1.94M","-0.62%"
"11/07/2016","52.83","52.04","52.99","52.04","1.67M","2.38%"
"11/04/2016","51.60","51.52","51.68","50.77","1.72M","-0.31%"
"11/03/2016","51.76","52.04","52.53","51.76","1.28M","-0.98%"
"11/02/2016","52.27","52.62","52.67","52.06","1.67M","-1.36%"
"11/01/2016","52.99","54.12","54.42","52.84","1.47M","-1.54%"
"10/31/2016","53.82","54.18","54.48","53.48","2.05M","-1.54%"
"10/28/2016","54.66","54.72","55.20","54.48","2.15M","-0.82%"
"10/27/2016","55.11","55.16","55.31","54.36","2.51M","0.09%"
"10/26/2016","55.06","51.98","55.56","51.92","3.93M","3.77%"
"10/25/2016","53.06","54.13","54.34","52.61","3.27M","-2.62%"
"10/24/2016","54.49","53.81","54.53","53.79","1.69M","1.04%"
"10/21/2016","53.93","53.93","54.42","53.54","2.06M","-0.02%"
"10/20/2016","53.94","53.56","54.25","53.36","1.94M","0.26%"
"10/19/2016","53.80","53.37","53.92","53.28","1.30M","0.94%"
"10/18/2016","53.30","52.86","53.48","52.69","1.66M","1.74%"
"10/17/2016","52.39","52.01","52.73","52.01","1.55M","0.21%"
"10/14/2016","52.28","51.26","52.65","51.19","2.35M","0.35%"
"10/13/2016","52.10","51.79","52.13","51.40","2.06M","-0.12%"
"10/12/2016","52.16","52.65","52.68","51.82","1.82M","-1.04%"
