"Date","Price","Open","High","Low","Vol.","Change %"
"05/29/2024","162.87","164.27","164.55","162.35","561.70K","-1.31%"
"05/28/2024","165.04","167.45","168.13","164.42","441.77K","-1.16%"
"05/27/2024","166.98","165.91","166.98","165.47","227.13K","0.79%"
"05/24/2024","165.67","164.71","166.24","164.58","359.24K","0.28%"
"05/23/2024","165.20","166.16","166.91","164.75","449.76K","-0.59%"
"05/22/2024","166.18","167.96","168.13","165.44","405.47K","-1.01%"
"05/21/2024","167.87","168.55","168.69","166.75","405.61K","-0.44%"
"05/20/2024","168.62","167.22","170.00","166.95","374.01K","-0.08%"
"05/17/2024","168.76","168.22","168.82","167.69","741.12K","0.30%"
"05/16/2024","168.25","170.42","170.42","168.25","357.02K","-0.97%"
"05/15/2024","169.89","169.78","171.45","169.40","577.17K","0.18%"
"05/14/2024","169.58","169.09","170.31","167.85","398.69K","0.28%"
"05/13/2024","169.11","170.38","170.53","168.84","314.37K","-0.33%"
"05/10/2024","169.67","170.47","170.98","169.31","594.24K","-0.17%"
"05/09/2024","169.96","169.40","170.64","168.58","298.72K","0.22%"
"05/08/2024","169.58","168.00","169.93","167.93","465.35K","1.39%"
"05/07/2024","167.25","166.09","167.25","164.93","566.20K","1.14%"
"05/06/2024","165.36","165.09","166.36","164.55","321.49K","0.71%"
"05/03/2024","164.20","165.02","166.13","164.16","464.22K","-0.24%"
"05/02/2024","164.60","166.93","167.16","164.60","854.78K","-1.53%"
"04/30/2024","167.16","168.18","168.55","166.91","683.43K","-0.29%"
"04/29/2024","167.64","169.33","170.76","167.62","516.90K","-0.42%"
"04/26/2024","168.35","167.95","168.40","165.95","537.29K","0.85%"
"04/25/2024","166.93","169.09","169.15","163.73","1.01M","-1.35%"
"04/24/2024","169.22","171.82","173.75","168.91","960.49K","-2.32%"
"04/23/2024","173.24","171.40","173.87","170.78","624.99K","1.43%"
"04/22/2024","170.80","171.18","171.95","170.29","535.55K","0.06%"
"04/19/2024","170.69","168.93","170.84","168.18","727.13K","0.55%"
"04/18/2024","169.75","170.13","170.42","168.76","674.59K","0.12%"
"04/17/2024","169.55","168.73","170.71","168.67","431.12K","0.42%"
"04/16/2024","168.84","168.82","170.33","168.11","575.47K","-1.37%"
"04/15/2024","171.18","170.00","172.11","169.45","513.42K","0.49%"
"04/12/2024","170.35","172.73","173.15","169.56","566.07K","-0.71%"
"04/11/2024","171.56","170.05","171.75","169.55","644.62K","0.77%"
"04/10/2024","170.25","170.91","171.38","168.85","578.91K","-0.04%"
"04/09/2024","170.31","170.89","171.53","170.13","615.62K","-0.49%"
"04/08/2024","171.15","170.55","172.20","170.33","419.61K","0.41%"
